id,title,release date,genres,director,producers,actor,supporting actors,media format,run time,MPAA rating,subtitles,studio,Item model number,Date First Available,IMDb,audio languages
B0007N1JF0,"Sex, Love And Relationships (Abridged)","January 1, 2013",Drama,,,,,"Multiple Formats,Color,NTSC",55 minutes,s_medNotRated NR (Not Rated),,Baker & Taylor (Gn),,,,
B000006RLV,When Nature Calls [VHS],"September 24, 1996",Cine español,Charles Kaufman (III),,"David Orange,Barbara Marineau,Nicky Beim,Tina Marie Staiano,David Strathairn",,,,,,Troma,,"February 9, 2007",,
B0007989V6,Fire in the Soul (Fuego En El Alma),"March 22, 2005",Drama,Abdiel Colberg,,"Braulio Castillo,Raul Davila,Rey Pascual,Idalia Perez Garay,Luisa de los Ros",,"Multiple Formats,Color,Dolby,NTSC,Subtitled,Widescreen",1 hour and 45 minutes,s_medNotRated NR (Not Rated),,Maverick,,,,
B000BB037S,Crystal Voyager (Pal/Region 4),"September 6, 2005",Action & Adventure,David Elfick,,"Ritchie West,Nat Young,George Greenough",,"Import,PAL",1 hour and 15 minutes,,,,,,,
B000JMKK4A,Silencers,"January 1, 2007",Aliens,Richard Pepin,,"Jack Scalia,Terri Power,Dennis Christopher,Carlos Lauchu,Lucinda West",,"Multiple Formats,Color,Dolby,NTSC,Full Screen",1 hour and 41 minutes,s_medR R (Restricted),,Trinity Home Entertainment,,,,
B000077VP2,Gillian Welch - The Revelator Collection,"November 2, 2002",Contemporary Folk,,,Gillian Welch,,"Multiple Formats,Black & White,NTSC",59 minutes,s_medNotRated NR (Not Rated),,Acony Records,,,,
B000007P81,Moonchild [VHS],"August 10, 2004",Science Fiction,,,Moonchild,,,1 hour and 30 minutes,,,Music Video Distribu,,"September 29, 2006",,
B000IU37TS,Dane Cook - Vicious Circle,"November 28, 2006",All HBO Titles,Various,,Various,,"Multiple Formats,Closed-captioned,Color,NTSC",3 hours and 30 minutes,s_medNotRated NR (Not Rated),,HBO Studios,HBO93718DVD,,,
B000AOGMIK,Gustav Mahler: Conducting Mahler/I Have Lost Touch With the World,"October 18, 2005",Symphonies,,,"Mahler,Haitink,Chailly,Muti,Abbado",,"Multiple Formats,Classical,Color,NTSC",2 hours and 12 minutes,s_medNotRated NR (Not Rated),,Juxtapositions,,,,
B003UOR8QM,The Stones Cry out,,,,,,,,,,,,,,,
6303944698,Sightings:Ghost Report [VHS],"February 20, 1996",Documentary,"Carl Buehl,Christopher Carson,Essy Niknejad,Joe Dea,John Jopson",,"Dale Timothy White,Christopher Chacon,Tony Cornell,James A. Swan,Adrian Shine",,,1 hour,,,Paramount Home Video,,"January 27, 2007",,
B001PPLJLI,Street Warrior,"April 21, 2009",Action & Adventure,David Jackson,,"Max Martini,Nick Chinlund,Danny Arroyo,Gary Kasper,Kiko Ellsworth",,"Color,NTSC,Widescreen,Multiple Formats",1 hour and 28 minutes,s_medR R (Restricted),,Rhi Entertainment,,,,
B000IJ7AIS,Glass Harp: Live! Circa 72,"April 1, 2008",Album-Oriented Rock (AOR),,,Glass Harp,,"Multiple Formats,Color,NTSC",1 hour and 30 minutes,s_medNotRated NR (Not Rated),,Special Friends Prod,,,,
B0012680CG,El Deseo en Otono,"March 4, 2008",Drama,Carlos Enrique Taboada,,"Sonia Furio,Silvia Mariscal,Guillermo Murray,Juan Pelaez,Enrique Ponton",,"Color,Full Screen,NTSC",1 hour and 33 minutes,s_medNotRated Unrated (Not Rated),,Lionsgate,,,,
