id,title,release date,genres,director,producers,actor,supporting actors,media format,run time,MPAA rating,subtitles,studio,Item model number,Date First Available,IMDb,audio languages
6305079269,Murder on Flight 502 [VHS],"December 1, 2000",Action & Adventure,George McCowan,,"Ralph Bellamy,Polly Bergen,Theodore Bikel,Sonny Bono,Dane Clark",,,1 hour and 37 minutes,,,Timeless Multimedia,,"September 29, 2006",,
B00005M2EW,Arc the Lad - Alliance (Vol. 4) [VHS],"September 4, 2001",Action & Adventure,,,"Steve Blum,Brianne Brozey,Michelle Ruff,Melissa Fahn,Barbara Goodson",,,1 hour and 15 minutes,,,Section 23,,"February 9, 2007",,
630577255X,Without Air,"March 14, 2000",Drama,Neil Abramson,,"Lauri Crook,Larry 'Bait' Wiltsey,Jack May,Michelle McGlocklin,Pat Lawyer",,"Black & White,Letterboxed,Widescreen,NTSC",1 hour and 28 minutes,s_medNotRated NR (Not Rated),,IMAGE ENTERTAINMENT,,,,
B00025XKWS,The Big Chance,"September 28, 2004",Drama,Albert Herman,,"Mickey Rooney,Johnny Darrow",,"Multiple Formats,Black & White,NTSC",1 hour and 7 minutes,s_medNotRated NR (Not Rated),,Vidtape,,,,
B0000560XY,The Abyss,,Science Fiction,James Cameron,,"Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn,Leo Burmester,Todd Graff",,"NTSC,Anamorphic,Closed-captioned,Dolby,Digital Sound",2 hours and 25 minutes,s_medPG13 PG-13 (Parents Strongly Cautioned),,Fox Europa,,,,
B0001FVE22,Stranded,"April 20, 2004",General,María Lidón,,"Vincent Gallo,Maria de Medeiros,María Lidón,Joaquim de Almeida,Danel Aser",,"Color,Full Screen,NTSC",1 hour and 35 minutes,s_medR R (Restricted),,20th Century Fox,,,,
B0002IVNW4,Brave,"January 6, 2009",Music Videos & Concerts,,,Marillion,,"Import,NTSC",,s_medNotRated NR (Not Rated),,Indie Europe/Zoom,,,,
B0001BPRUQ,Justice League,,Animation,,,"Carl Lumbly,Phil LaMarr,Michael Rosenbaum,George Newbern,Maria Canals-Barrera",,PAL,22 minutes,,,,,,,
B000LP5CX4,The U.S. vs. John Lennon,"February 13, 2007",John Lennon,"David Leaf,John Scheinfeld",,"John Lennon,Yoko Ono,Stew Albert,Tariq Ali,Carl Bernstein",,"Multiple Formats,Closed-captioned,Color,NTSC,Subtitled,Widescreen",1 hour and 39 minutes,s_medPG13 PG-13 (Parents Strongly Cautioned),,Lionsgate,20911,,,
B0021L8UWQ,Armored [Blu-ray],"March 16, 2010",Movies,,,"Columbus Short,Laurence Fishburne",,"AC-3,Blu-ray,Color,Dolby,Dubbed,NTSC,Subtitled,Widescreen",1 hour and 28 minutes,s_medPG13 PG-13 (Parents Strongly Cautioned),,Sony Pictures,,,,
B000IY069S,Donizetti - Don Pasquale,"November 21, 2006",Classical,,,"Alessandro Corbelli,Eva Mei,Roberto De Candia,Antonino Siragusa,Gerard Korsten",,"AC-3,Classical,Color,Dolby,DTS Surround Sound,NTSC,Subtitled,Widescreen",2 hours and 1 minute,s_medNotRated NR (Not Rated),,Alliance,,,,
6302025230,Popcorn [VHS],"May 29, 1991",All Sony Pictures Titles,"Alan Ormsby,Mark Herrier",,"Jill Schoelen,Tom Villard,Dee Wallace,Derek Rydall,Malcolm Danare",,,1 hour and 31 minutes,,,Sony Pictures Home E,,"September 29, 2006",,
0792841948,The Package [VHS],"June 1, 1999",MGM Movie Time,Andrew Davis,,"Gene Hackman,Tommy Lee Jones,Joanna Cassidy,John Heard,Dennis Franz",,,1 hour and 48 minutes,,,Fox Home Entertainme,,"October 1, 2006",,
B003L20IEC,The Human Centipede,"October 5, 2010",Drama,Tom Six,,"Ashley C. Williams,Dieter Laser",,"Multiple Formats,Color,NTSC,Widescreen",1 hour and 32 minutes,s_medNotRated Unrated (Not Rated),,IFC Films,IDFC9540DVD,,,
B003J7HOBO,The New Recruits,"July 20, 2010",PBS,Produced by Ironbound Films,,,,"Multiple Formats,Closed-captioned,Color,NTSC",1 hour,s_medNotRated NR (Not Rated),,PBS,,,,
6302752299,Turn of the Screw [VHS],"June 9, 1993",Drama,,,"Kensit,Patsy",,,1 hour and 35 minutes,,,Lions Gate,,"September 29, 2006",,
B000HEWENU,Whoever Says the Truth Shall Die,"October 30, 2006",Documentary,Philo Bregstein,,"Pier Paolo Pasolini,Alberto Moravia,Laura Betti,Maria Antonietta Macciocchi,Bernardo Bertolucci",,"Multiple Formats,Black & White,Color,Full Screen,NTSC,Subtitled",1 hour,s_medNotRated NR (Not Rated),,Facets,,,,
B002PQ1PD8,Art: 21: Art in the Twenty-First Century - Season 5 [Blu-ray],"November 3, 2009",TV,"Susan Sollins,Executive Producer and Curator",,,,"Multiple Formats,Blu-ray,Color,NTSC",3 hours and 40 minutes,s_medNotRated NR (Not Rated),,PBS,,,,
B000GDIBRA,The Rock 'n' Roll Show,"July 1, 2016",Britain,,,Daniel O'Donnell,,"Multiple Formats,Color,NTSC,Widescreen",2 hours and 10 minutes,s_medNotRated NR (Not Rated),,DETROIT PUBLIC TELEVISION / DPTV,,,,
B004ZZSAXA,White Zombie,2010,Drama,Sinister Cinema,,"Bela Lugosi,Madge Bellamy,Joseph Cawthorn",Robert Fraze,Prime Video (streaming online video),1h 11min,,English [CC],nister Cinema,,,6.3,English
B000GAKQDU,Image of Bruce Lee,"February 14, 2006",Action & Adventure,,,"Ho Chung Dao,Chang Leih and Dana Lei",,"Color,NTSC",1 hour and 20 minutes,s_medNotRated NR (Not Rated),,Braun Media,,,,
B008J2I9PE,The Groomsmen,,Comedy,Edward Burns,,"Edward Burns,John Leguizamo,Mathew Lillard,Donal Logue,Jay Mohr",,"Color,NTSC,Letterboxed",1 hour and 38 minutes,s_medR R (Restricted),,Bauer Martinez Entertainment,,,,
B000BH4Z2G,Phish - Live in Brooklyn,"July 11, 2006",Vocal Pop,,,"Mike Gordon,Page McConnell,Phish,Trey Anastasio,Jon Fishman",,"Color,NTSC",3 hours and 41 minutes,s_medNotRated NR (Not Rated),,Rhino,,,,
6301249380,Banana Splits & Friends [VHS],"January 1, 2002",Kids & Family,,,Banana Splits,,,,,,Warner Home Video,,"September 29, 2006",,
B0052BYI2S,Anton Chekhov's The Duel,2010,"Drama,Arthouse",Dover Koshashvili,"Mary Bing,Suza Horvat,Per Melita,Igor Nola,Frank Pavich,more…Donald Rosenfeld","Andrew Scott,Fiona Glascott,Tobias Menzies","Niall Buggy,Nicholas Rowe,Michelle Fairley,Simon Trinder,Debbie Chazen,more…Graham Turner,Jeremy Swift,Alister Cameron,Rik Makarem,Tea Matanovic,Goran Kosti",Prime Video (streaming online video),1h 34min,,English [CC],Music Box Films,,,6.9,English
B001LNY7ZE,Three Stooges: Extreme Rarities (In Color),,,,,,,,,,,,,,,
B0055D3SIS,CONVERSATIONS ON CRAFT - Episode 4,,,,,,,,,,,,,,,
B000228ECM,Big Top Pee-Wee,"July 6, 2004",Comedy,Randal Kleiser,,"Paul Reubens,Penelope Ann Miller,Kris Kristofferson,Valeria Golino,Wayne White",,"Closed-captioned,Color,Dolby,Subtitled,Widescreen,NTSC",1 hour and 26 minutes,s_medPG PG (Parental Guidance Suggested),,Paramount,,,,
B00008G7UP,Journey Live: From the Heart [VHS],"November 5, 2002",Gospel,,,"Hewett,Howard",,,,,,Eagle Rock Ent,,"September 29, 2006",,
B000BPL2EM,"Flash, The: The Complete Series","January 10, 2006",All Titles,,,"John Wesley Shipp,Amanda Pays,Alex Désert,Vito D'Ambrosio,Biff Manard",,"Box set,Closed-captioned,Color,NTSC,Subtitled",18 hours and 8 minutes,s_medNotRated NR (Not Rated),,Warner Home Video,,,,
